question,choices,answer,subject,explaination
What is the Peak Age of Information?,"['The time it takes for a packet to be acknowledged by the transmitter', 'The time between two consecutive packet transmissions', 'The time it takes for a packet to be generated by the source', 'The time it takes for a packet to be received by the destination', 'The Age of Information immediately prior to the reception of a new packet']",4,Research overview,The Peak Age of Information is the Age of Information immediately prior to the reception of a new packet.
What is the key functionality introduced for prioritization between overlapping uplink resources of one UE in the 5G Core network? [3GPP Release 16],"['Support for up to eight simultaneously active semi-persistent scheduling (SPS) configurations', 'Support for accurate reference timing delivery', 'Support for prioritization between overlapping uplink resources of one UE', 'Support for multiple active configured grant configurations for a BWP', 'Support for PDCP packet duplication enhancements']",2,Standards overview,The key functionality introduced for prioritization between overlapping uplink resources of one UE in the 5G Core network is support for prioritization between overlapping uplink resources of one UE.
What action does the network take if a QCI-1 bearer setup request for VoLTE is rejected during a terminating session? [3GPP Release 14],"['The call will be dropped', 'The network will retry the call setup over CS domain', 'The call will fallback to 2/3G in weak coverage areas', 'The network will initiate a handover to a stronger LTE signal']",1,Standards overview,"If a QCI-1 bearer setup request for VoLTE is rejected during a terminating session, the network will retry the call setup over CS domain."
What is the definition of a weakly symmetric channel?,"['The rows of the channel transition matrix are permutations of each other and the columns are permutations of each other.', 'Every row of the transition matrix is a permutation of every other row and all the column sums are equal.', 'All rows of the transition matrix have the same entries and all columns have the same entries.', 'The rows and columns of the channel transition matrix have equal sums.', 'Every row of the transition matrix is a permutation of every other row and all column sums are unequal.']",1,Research publications,A channel is said to be weakly symmetric if every row of the transition matrix is a permutation of every other row and all the column sums are equal.
What does network diagnostics aim to achieve? [3GPP Release 17],"['Early detection of faults', 'Evaluation of impact on the service/network', 'Clear explanations of failures', 'Suggestion of corrective actions', 'All of the above']",4,Standards specifications,"Network diagnostics aims to achieve early detection of faults, evaluation of their impact, clear explanations of failures, and suggestion of corrective actions."
What are the four main functions of cognitive radio?,"['Spectrum sensing, spectrum transmission, spectrum management, spectrum handoff', 'Spectrum sensing, spectrum access, spectrum management, spectrum handoff', 'Spectrum sensing, spectrum allocation, spectrum management, spectrum handoff', 'Spectrum sensing, spectrum access, spectrum allocation, spectrum handoff']",1,Research overview,"The four main functions of cognitive radio are spectrum sensing, spectrum access, spectrum management, and spectrum handoff."
What is the definition of UICC?,"['A physically secure device used for accessing services provided by mobile networks', 'A radio interface between UTRAN and the User Equipment', 'A data bearer of 144 kbps', 'A high quality speech teleservice', 'A capability to forward a speech call']",0,Lexicon,"UICC is a physically secure device, an IC card (or 'smart card'), that may be inserted and removed from the terminal, or embedded inside the terminal. It may contain one or more applications."
What is the target transmission range for the THz on-off keying mode?,"['Several kilometers', 'Few meters', 'Tens of meters', 'Hundreds of meters']",1,Research publications,The target transmission range for the THz on-off keying mode (THz-OOK PHY) in the IEEE 802.15.3d standard does not exceed a few meters.
What is the definition of energy efficiency in a cellular network?,"['The number of bits that can be reliably transmitted per second', 'The number of bits that can be reliably transmitted per complex-valued sample', 'The number of bits that can be reliably transmitted per Joule', 'The number of bits that can be reliably transmitted per unit of energy']",3,Research publications,Energy efficiency is defined as the number of bits that can be reliably transmitted per unit of energy.
What is the manifestation of bias in machine learning?,"['Inaccurate assessments that universally inflate or deflate scores independent of group status.', 'Measurement scores containing systematic error that is not relevant to the construct of interest.', 'Differences in group means reflecting true differences in the underlying construct.', 'Systematic influences altering human behaviors or judgments about others based on their group membership.']",1,Research publications,"In machine learning, bias is observed as measurement bias, where assessment scores contain systematic error that is not relevant to the construct of interest."
What is the purpose of Usage Parameter Control (UPC)?,"['To update the UTRAN registration area when a connection exists.', 'To access services provided by mobile networks.', 'To monitor and control the offered traffic and the validity of the connection.', 'To transmit signals from a UE to a base station.', 'To perform radio transmission and reception within the UTRAN.']",2,Lexicon,Usage Parameter Control (UPC) is a set of actions taken by the network to monitor and control the offered traffic and the validity of the connection based on the negotiated contract between the user and the network.
What does DFT stand for?,"['Digital Audio Broadcast', 'Digital Fourier Transform', 'Discrete Fourier Transform', 'Discrete Time-Division Duplex', 'Distribution Free Test']",2,Research publications,DFT stands for Discrete Fourier Transform as per the given context.
What is the purpose of load-balancing steering mode enhancements? [3GPP Release 17],"['To provide better network performance measurements', 'To prioritize non-3GPP access over 3GPP access in load balancing', 'To enable the UE and UPF to freely select split percentages for each access type', 'To enhance the functionality of the AMF']",2,Standards overview,"In Rel-17, load-balancing steering mode enhancements allow the UE and UPF to freely and independently select their own percentages for each access type, maximizing the aggregated throughput."
What is the maximum number of CBR range configurations for sidelink communication congestion control? [3GPP Release 17],"['8', '7', '16', '15', '12']",0,Standards specifications,The maximum number of CBR range configurations for sidelink communication congestion control is 8.
Which wireless technology was specifically designed for IoT (Internet of Things) devices and has a transmission range of 1 km?,"['Zigbee', 'RFID', 'Bluetooth', 'WiFi HaLow', 'LoRaWAN']",4,Research publications,"LoRaWAN is a long-range, low power consumption technology specifically designed for IoT devices, with a transmission range of 1 km."
Which term is used to refer to the transformation of the Internet from being technology-driven to market-driven?,"['3rd Industrial Revolution', 'Industrial Internet', 'Networked Society', 'Internet of Things', 'Internet of Everything']",0,Research publications,"The Internet has undergone a transformation from being technology-driven to market-driven, which is often referred to as the 3rd Industrial Revolution."
What is the Time To First Fix?,"['The time it takes for a packet to be transmitted from the source to the destination and back to the source', 'The time it takes for a packet to be generated by the source', 'The time it takes for the first positioning data to be available at the receiver', 'The time it takes for a packet to be received by the destination', 'The time it takes for a packet to be acknowledged by the transmitter']",2,Research overview,Time To First Fix is the time it takes for the first positioning data to be available at the receiver.
What information is included in the Location Report message when the NG-RAN detects that the UE has moved out of or into multiple areas of interest? [3GPP Release 18],"['UE Location', 'UE Presence in Area Of Interest', 'Request Reference ID', 'All of the above', 'None of the above']",3,Standards specifications,"When the NG-RAN detects that the UE has moved out of or into multiple areas of interest, it sends multiple pairs of UE Presence in the Area Of Interest and the Request Reference ID in one Location Report message to the AMF."
What is the principle of Indexed Modulation (IM)?,"['Fully decode interference', 'Treat interference as noise', 'Partial decoding of interference', 'No interference decoding required']",3,Research publications,Indexed Modulation (IM) does not require interference decoding.
Which satellite access network type has the lowest end-to-end latency requirement in a 5G system? [3GPP Release 17],"['GEO based satellite access', 'MEO based satellite access', 'LEO based satellite access', 'All have the same end-to-end latency requirement']",2,Standards specifications,LEO based satellite access has the lowest end-to-end latency requirement in a 5G system.
What factors determine the safety levels in the standard? [IEEE C95.1],"['Biological and dosimetry uncertainties', 'Frequency and duration of exposure', 'Variability of response thresholds', 'Safety factors and their rationales', 'All of the above']",4,Standards specifications,"The safety levels consider biological and dosimetry uncertainties, variability of response thresholds, and safety factors and their rationales."
What is LPWA (Low-Power Wide Area) technology primarily designed for?,"['High-speed data transmission', 'Large data rates and traffic volumes', 'Infrequent small data transmissions', 'Supporting mobility and roaming', 'Interference mitigation in unlicensed bands']",2,Research publications,LPWA technology is designed for M2M services with infrequent small data transmissions.
What is a Virtual Machine?,"['A provider that offers virtual home environment services.', 'A type of telecommunication service with a fixed bit rate.', 'A software program that simulates a hypothetical computer central processing unit.', 'A provider that offers services other than basic telecommunications service for additional charges.', 'A type of telecommunication service with a bit rate that can vary within defined limits.']",2,Lexicon,A virtual machine is a software program that simulates a hypothetical computer central processing unit.
What is the definition of service continuity?,"['A service area solely relying on infrastructures and positioning technologies present anywhere 5G is present', 'A network deployment that does not interact with a public network', 'The uninterrupted user experience of a service during an access change', 'A dedicated network slice deployment for a specific third-party', 'The time taken to transfer a given piece of information from a source to a destination']",2,Lexicon,Service continuity refers to the uninterrupted user experience of a service during an access change.
Which standard defines the integration of the 5G System into a TSN data network (DN)? [3GPP Release 18],"['TS\xa023.040', 'TS\xa023.273', 'TS\xa023.502', 'TS\xa023.540', 'IEEE Std 802.1Q']",4,Standards specifications,Integration of the 5G System into a TSN data network (DN) is specified in IEEE Std 802.1Q.
Which wireless standard uses the WEP (wired equivalent privacy) protocol as a security measure?,"['Bluetooth', 'Wi-Fi', 'WiMAX', 'LTE', 'None of the above']",1,Research overview,The Wi-Fi standard uses the WEP protocol as a security measure.
What is an advantage of incorporating energy harvesting (EH) capabilities in massive MIMO networks?,"['Improved transmission reliability', 'Increased network lifetime', 'Reduced carbon footprint', 'Lower path loss exponent', 'Higher channel coherence times']",2,Research publications,Incorporating energy harvesting (EH) capabilities in massive MIMO networks can result in a reduced carbon footprint and increased network lifetime by powering the BSs with energy harvested from renewable resources.
What is the purpose of the LTE-U Discovery Signal (LDS)?,"['To transmit full LTE frames', 'To synchronize LTE-U SC measurements', 'To detect interference in the channel', 'To adjust the duty cycle of CSAT']",1,Standards overview,LDS is transmitted by the LTE-U SC to provide time and frequency synchronization and perform measurements.
Which organization is jointly framing the concepts of operations for UAV (Unmanned Aerial Vehicle) traffic management in the USA?,"['3GPP and ITU', 'ICNIRP and IEEE', 'ICNIRP and FAA', 'FCC and EC', 'FAA and NASA']",4,Research publications,The concepts of operations for UAV traffic management in the USA are being jointly framed by FAA and NASA.
Which organization has specified metrics to assess mobile network energy efficiency?,"['European Telecommunications Standards Institute', 'International Telecommunication Union', 'Third Generation Partnership Project', 'All of the above']",3,Research publications,"The European Telecommunications Standards Institute, International Telecommunication Union, and Third Generation Partnership Project have all specified metrics to assess mobile network energy efficiency."
What are commonly used performance criteria in communications systems?,"['Target detection performance', 'Mean square error (MSE)', 'Spectral efficiency', 'Ambiguity function (AF)', 'Cramér-Rao Lower Bound (CRLB)']",2,Research publications,Spectral efficiency is a commonly used performance criterion in communications systems.
What is an effective use of terahertz sensing in wireless systems?,"['Beam management and blockage avoidance', 'Signal encryption and decryption', 'Frequency modulation', 'Power amplification', 'Channel equalization']",0,Research overview,Terahertz sensing in wireless systems can provide situational awareness that aids in beam management and avoiding blockages.
Who are the end-users in the context of telecommunications?,"['Service providers', 'Manufacturers of telecommunication equipment', 'Regulatory agencies', 'Individuals or organizations who consume or utilize telecommunication services']",3,Research publications,End-users refers to individuals or organizations who consume or utilize telecommunication services.
Research Papers,"['Backpropagation using spikes', 'Local learning rules', 'Shadow training', 'Backpropagation using spike times']",2,Research publications,Shadow training involves training on a non-spiking ANN and converting it into an SNN.
Which decoding algorithm begins each decoding operation by permuting the received symbols in the descending order of magnitudes of their reliabilities?,"['Sequential (SQ)', 'Guessing Random Additive Noise Decoding (GRAND)', 'Successive Cancellation List (SCL)', 'Successive Cancellation Stack (SCS)', 'Ordered-Statistics Decoding (OSD)']",4,Research publications,OSD begins each decoding operation by permuting the received symbols in the descending order of magnitudes of their reliabilities.
What is the on-duration of DRX? [3GPP Release 18],"['The duration that the UE monitors PDCCH', 'The duration until a retransmission can be expected', 'The duration that the UE waits for, after waking up, to receive PDCCHs', 'The total duration that the UE monitors PDCCH']",2,Standards specifications,"The on-duration of DRX is the duration that the UE waits for, after waking up, to receive PDCCHs."
What is the purpose of resending datagrams in TCP? [TCP/IP],"['To acknowledge the receipt of data', 'To guarantee complete reliability', 'To set up a connection', 'To close a connection', 'To reserve buffer space']",1,Standards overview,Resending datagrams ensures that data is successfully transmitted even if acknowledgements are not received in time.
How can gossip algorithms be used for source localization?,"['By computing the average of the sensor measurements', 'By taking a linear combination of sensor locations weighted by a function of their RSS measurements', 'By using a transform matrix to compute the coefficients of the source location', 'By finding a cyclic route through the network']",1,Research overview,Gossip algorithms can be used for source localization by taking a linear combination of sensor locations weighted by a function of their received signal strength (RSS) measurements.
What inputs are required for the Nmfaf_3caDataManagement_Notify service operation? [3GPP Release 18],"['Data Consumer or Analytics Consumer Information, Transaction Reference Id', 'Notification Correlation Information', 'Requested Data with timestamp or Analytics with timestamp, Fetch Instructions', 'Set of Fetch Correlation ID(s)']",1,Standards specifications,Notification Correlation Information is required as an input for the Nmfaf_3caDataManagement_Notify service operation.
Which 3GPP working group is responsible for defining the security aspects of LTE based V2X communication? [3GPP Release 14],"['SA WG1', 'SA WG2', 'SA WG3', 'CT WG1', 'CT WG3']",2,Standards overview,SA WG3 is responsible for specifying the security aspects for LTE based V2X communication.
What is required for ecosystem diversification in the RAN industry? ,"['Disaggregated RAN architecture', 'General-Purpose Processor (GPP) based hardware', 'Open fronthaul (OFH) interface', 'Diverse spectrum holding of low, mid, and high bands', 'Service Management and Orchestration Framework']",0,Research overview,The whitepaper states that the most important enabler for ecosystem diversification is further disaggregation of RAN architecture.
What is the main advantage of NOMA (Non-orthogonal multiple access) HetNet (Heterogeneous Network) compared to OFDM (Orthogonal Frequency Division Multiplex) HetNet?,"['Greater coverage area.', 'Lower power consumption.', 'Faster data rate.', 'Higher spectrum efficiency.']",3,Research publications,NOMA HetNet outperforms OFDM HetNet because NOMA technique has higher spectrum efficiency and can fully utilize the spectrum resources.
What is one effect of pilot contamination on the UL (Uplink)?,"['It reduces the non-coherent interference', 'It reduces the desired signal power', 'It improves the array gain', 'It increases the MSE of the channel estimation', 'It reduces the coherent interference']",3,Research publications,"Pilot contamination increases the mean square error (MSE) of the channel estimation, impairing the selection of combining vectors that provide strong array gains and reject non-coherent interference."
What are the data services included in MCData in Release 14? [3GPP Release 14],"['Short message service only', 'File transfer service only', 'Both short message service and file transfer service', 'Email service']",2,Standards overview,MCData in Release 14 includes a short message service and a file transfer service.
What is the advantage of VLANs in terms of additional security? [IEEE 802.3],"['Broadcast messages are limited', 'Devices can communicate with devices in other VLANs', 'Devices can only communicate within the same VLAN', 'Network load is restricted']",2,Standards overview,"Devices of a VLAN can only communicate with devices in the same VLAN, providing additional security."
What is the purpose of service continuity in the Evolved Packet System? [3GPP Release 17],"['To optimize routing for user plane traffic', 'To support mobility within and across access systems', 'To minimize packet loss during inter- and/or intra-access technology changes', 'To provide continuous service during and following changes of access systems', 'To support simultaneous usage of multiple accesses']",3,Standards specifications,Service continuity ensures that service is maintained during and following changes of access systems.
Which use case category involves improving network performance and QoE (Quality of Experience)?,"['Consumer-oriented services', 'Operator and third party services', 'Network performance and QoE improvement services', 'None of the above']",2,Research overview,The use case category involving improving network performance and QoE is Network performance and QoE improvement services.
What is the Khatri-Rao product?,"['The product of two matrices of the same size', 'The element-wise product of two matrices', 'The product of a matrix and a vector', 'The column-wise Kronecker product of two matrices', 'The row-wise Kronecker product of two matrices']",3,Research overview,The Khatri-Rao product is the column-wise Kronecker product of two matrices.
What is the typical architecture of a WSN (wireless sensor network) node?,"['Only a sensor unit', 'Only a processor and a radio transceiver', 'Only a sensor unit, a processor and a radio transceiver', 'Only a processor, a radio transceiver, and a power supply', 'A sensor unit, a processor, a radio transceiver, an A/D converter, a memory unit, and a power supply']",4,Research overview,"The typical architecture of a WSN node includes a sensor unit, a processor, a radio transceiver, an A/D converter, a memory unit, and a power supply (battery)."
What is the purpose of unconstrained Tucker decompositions?,"['To find the subspaces spanned by the fibers', 'To factorize data into easily interpretable components', 'To compress data into a tensor of smaller size', 'To diagonalize the core tensor', 'To minimize the approximation error in a low multilinear rank approximation']",2,Research publications,The goal of unconstrained Tucker decomposition is most often to compress data into a tensor of smaller size.
What is the relationship between SDN (Software Defined Networking) and NFV (Network Function Virtualization)?,"['SDN and NFV are unrelated concepts', 'SDN and NFV have similar goals and can enhance each other', 'NFV replaces SDN in network management', 'SDN requires NFV to operate efficiently', 'SDN and NFV compete with each other in the networking industry']",1,Research overview,SDN and NFV have similar goals and can enhance each other in a networking solution.
What is a consequence of the concavity of entropy?,"['Lower entropy when mixing two gases', 'Higher entropy when mixing two gases', 'Unchanged entropy when mixing two gases', 'Decreased entropy when mixing two gases', 'None of the above']",1,Research publications,The concavity of entropy means that mixing two gases of equal entropy results in a gas with higher entropy.
"What is the definition of ""UDM""?","['Unified Data Model', 'User Data Management', 'Unified Device Management', 'User Device Management', 'Unified Data Management']",4,Lexicon,UDM stands for Unified Data Management.
What is the purpose of precoding techniques in multibeam satellite systems?,"['To increase the signal to interference and noise ratio (SINR)', 'To decrease the carrier bandwidth', 'To reduce the number of beams', 'To improve the channel covariance matrix']",0,Research publications,"Precoding techniques allow a high frequency reuse factor among different beams, which helps increase the signal to interference and noise ratio (SINR)."
What does the SMF do when it receives the enabling request for analytics information exposure from a UE? [3GPP Release 18],"['Subscribes to the Analytics ID for the UE', 'Checks if it has already subscribed to the Analytics ID for other UEs', 'Unsubscribes from the Analytics ID for the UE', 'Requests analytics information from the NWDAF', 'Includes an Accept or Reject to the enabling request']",1,Standards specifications,The SMF checks if it has already subscribed to the Analytics ID related to the analytics information exposure before subscribing for the UE.
How can localization assist in disaster management and recovery?,"['By providing accurate location information of missing individuals', 'By helping rescue teams target affected locations', 'By providing medical help in extreme scenarios', 'All of the above', 'None of the above']",3,Research overview,"Localization can assist in disaster management and recovery by providing accurate location information of missing individuals, helping rescue teams target affected locations, and providing medical help in extreme scenarios."
What can the user change in the privacy exception list? [3GPP Release 17],"['The LCS Client and/or group of LCS Clients list', 'The codeword', 'The requestor', 'The service types', 'All of the above']",4,Standards specifications,"The user can change the LCS Client and/or group of LCS Clients list, the codeword, the requestor, the service types, and the target subscriber notification setting in the privacy exception list."
What are the two classes of features used in object recognition?,"['Histograms and salience features', 'Global features and local features', 'Principal Component Analysis and Spin Image', 'Feature extraction and classification']",1,Research publications,The features used in object recognition can be divided into global features for the whole object and local features for each point.
What does RLSS stand for?,"['Received Location Query Signal', 'Received Location Signal Strength', 'Registered Location Query Protocol', 'Registered Location Secure Server']",3,Lexicon,"RLSS stands for Registered Location Secure Server, which is an entity that accesses and manages a database that securely holds the location and some operating parameters of one or more basic service sets (BSSs)."
What is the purpose of the disassociation service in 802.11 networks? [IEEE 802.11],"['To integrate non-IEEE 802.11 networks', 'To evaluate signal strength', 'To terminate an existing association', 'To deliver frames to their destination', 'To register mobile stations with access points']",2,Standards specifications,"The disassociation service is used to terminate an existing association, removing any mobility data stored in the distribution system."
What is the purpose of a continual learning model?,"['To learn multiple tasks simultaneously', 'To learn new tasks without forgetting old ones', 'To memorize all training samples', 'To improve the overall performance of old tasks']",1,Research publications,A continual learning model needs to learn corresponding task(s) with no or limited access to old training samples and perform well on their test sets.
What is the role of the relay in a network coding solution?,"['To route packets towards their destination', 'To generate random coefficients for the received packets', 'To compute the modulo-2 sum of the received packets', 'To send a linear combination of the received packets towards the destination', 'To ensure that the matrix of coefficients has full rank']",3,Research overview,The relay sends a linear combination of the received packets towards the destination.
What is the main theoretical tool for analyzing latency in networks?,"['Real-time Transport Protocol', 'Stochastic network calculus', 'Network Time Protocol', 'Transmission Control Protocol', 'Queuing theory']",4,Research overview,Queuing theory is the main theoretical tool for analyzing latency in networks.
How can asset management benefit from tracking?,"['By optimizing operation management', 'By improving inventory management', 'By tracking the location of assets', 'All of the above', 'None of the above']",3,Research overview,"Asset management can benefit from tracking by optimizing operation management, improving inventory management, and tracking the location of assets."
Why can tUAV (tethered UAV) sustain heavier payloads compared to uUAVs (untethered UAVs)?,"['tUAVs have a stable energy resource through a tether.', 'tUAVs have more processing units compared to uUAVs.', 'tUAVs have higher-altitude hovering capabilities compared to uUAVs.', 'tUAVs have stronger communication with ground stations compared to uUAVs.', 'None of the above.']",0,Research publications,tUAVs can sustain heavier payloads due to the existence of a stable energy resource connected through a tether.
"According to the Bayesian philosophy, how are the unknown parameters treated in the models?","['As known values with zero variability', 'As fixed values with no uncertainty', 'As random variables that encode uncertainty about their true values', 'As deterministic functions of the observed data', 'As random variables that have a random nature']",2,Research publications,"The parameters in Bayesian models are treated as random variables, not because they have a random nature, but to encode our uncertainty about their true (yet unknown) values."
Which emerging IoT (Internet of Things) technology operates in the sub-gigahertz license-exempt spectrum and is designed for extended range applications?,"['SigFox', 'LoRa', 'IEEE 802.11ah', 'Weightless-N', 'Weightless-W']",2,Research overview,IEEE 802.11ah operates in the sub-gigahertz license-exempt spectrum and is designed for extended range applications.
What does GFMA stand for?,"['Guaranteed-Fast Multiple Access', 'Grant-Free Multiple Access', 'Grouped-Frequency Multiple Access', ""GFMA doesn't stand for anything"", 'General-Flexible Multiple Access']",1,Research overview,GFMA stands for Grant-Free Multiple Access.
What is a birth-and-death process?,"['A process where the number of births and deaths are equal', 'A process where the number of births and deaths are not equal', 'A process where the population size increases and decreases', 'A process where the population size remains constant', 'A process where the population size never changes']",2,Research publications,A birth-and-death process is a process where the population size increases and decreases.
What does a '1' value for a bit in the TRS availability indication field indicate? [3GPP Release 17],"['Change to a current assumption for the availability of TRS resource sets', 'No change to the availability of TRS resource sets', 'Unavailability of associated TRS resource sets', 'Validity of TRS resource sets', 'Presence of associated TRS resource sets']",4,Standards specifications,A '1' value for a bit in the TRS availability indication field indicates the presence of associated TRS resource sets.
What is the major difference between distributed compressive sensing (DCS) and standard compressive sensing?,"['In DCS, signals are more sparse than in standard compressive sensing', 'In DCS, signals from multiple nodes exhibit intra-correlation', 'In DCS, signals are processed by a distributed network', 'In DCS, signals are processed by a single node', 'In DCS, signals from multiple nodes exhibit inter-correlation']",4,Research publications,"The major difference between distributed compressive sensing (DCS) and standard compressive sensing is that in DCS, signals from multiple nodes exhibit inter-correlation. This inter-correlation leads to a joint sparsity property, which allows for fewer compressed measurements required for exact recovery compared to standard compressive sensing."
Which of the following is not a benefit of applying deep learning to mobile and wireless networking?,"['Automatic feature extraction', 'Efficient utilization of big data', 'Handling large amounts of unlabeled data', 'Reduced computational and memory requirements', 'Higher interpretability']",4,Research overview,"Deep learning is known for its high accuracy but has low interpretability, which can be a limitation in some applications."
What is the definition of an AI decision entity?,"['An entity that is either an ML model or contains an ML model and ML model related metadata', 'An entity that applies a non-ML based logic for making decisions', 'An entity that employs an ML model and/or AI decision entity to conduct inference', 'An entity that contains an AI model and AI model related metadata']",1,Lexicon,An AI decision entity is defined as an entity that applies a non-ML based logic for making decisions.
Which approach for slice isolation guarantees full resource isolation but may lead to over-provisioning?,"['Resource multiplexing', 'Dynamic slicing', 'Resource sharing', 'Provisioning techniques', 'Static slicing']",4,Standards overview,"In static slicing, full resource isolation is guaranteed but it may result in over-provisioning of resources."
What is the purpose of transferring CDRs via Bx? [3GPP Release 18],"['To transfer CDRs from CDF to CGF for processing.', 'To transfer CDRs from CGF to BD for persistent storage.', 'To transfer CDRs from CDF to CTF for charging data transfer.', 'To transfer CDRs from OCF to OCS for online charging.']",1,Standards specifications,"The CGF is responsible for persistent CDR storage, for preparing CDR files and transferring them to the BD via the Bx reference point."
What is the key condition for achieving nonreciprocal propagation in a waveguide with travelling-wave modulation?,"['The modulation frequency is smaller than the angular frequency of the second mode', 'The modulation frequency is equal to the sum of the angular frequencies of the two modes', 'The modulation frequency is larger than the angular frequency of the first mode', 'The modulation frequency is equal to the difference between the angular frequencies of the two modes', 'The modulation frequency is equal to the angular frequency of the second mode']",3,Research overview,"In a waveguide with travelling-wave modulation, nonreciprocal propagation is achieved when the modulation frequency is equal to the difference between the angular frequencies of the two modes."
What is the purpose of spreading in PUCCH formats 3 and 4? [3GPP Release 17],"['To increase the bandwidth of the PUCCH transmission.', 'To enhance the orthogonality of the transmitted symbols.', 'To improve the immunity of the transmitted signal to multipath fading.', 'To reduce the inter-UE interference in the PUCCH transmission.']",1,Standards specifications,Spreading is applied in PUCCH formats 3 and 4 to enhance the orthogonality of the transmitted symbols. This helps to reduce the inter-UE interference and improve the reliability of the PUCCH transmission.
What is the purpose of the Central Unit in the O-RAN architecture?,"['To distribute the higher layers of the protocol stack', 'To handle frequency-domain functionalities', 'To perform management and control of the network at near-real-time', 'To implement the physical layer']",0,Research publications,The purpose of the Central Unit is to distribute the higher layers of the protocol stack.
What is the purpose of Connection Admission Control (CAC)?,"['To balance between the QoS requirements of new connections request and the current network utilization', 'To establish a logical association between several users', 'To define the combined losses of all transmission system components', 'To identify the modulated waveform conveying the physical channels', 'To indicate the general 3GPP System mobile station characteristics']",0,Lexicon,Connection Admission Control (CAC) is a set of measures taken by the network to balance between the QoS requirements of new connections request and the current network utilization.
"Which of the following receiver structures splits the received signal into two streams, one for energy harvesting and the other for information decoding?","['Time switching (TS) receiver', 'Power splitting (PS) receiver', 'Integrated receiver (IntRx)', 'Antenna switching (AS)', 'Broadcast receiver']",1,Research publications,"A power splitting (PS) receiver splits the received signal into two streams, one for energy harvesting and the other for information decoding, by adjusting the power ratio between the two streams."
What is the purpose of FoV (field-of-view) alignment in the data collection process?,"['To capture data at different rates', 'To align the different sensors', 'To monitor the collected data in real-time', 'To synchronize the data modalities']",1,Research publications,FoV alignment is necessary to align the different sensors considering their varying field-of-view (FoV) and range.
How does the NWDAF collect input data for PDU Session traffic analytics? [3GPP Release 18],"[""Directly from the UPF using the 'UserDataUsageMeasures' event exposure event."", 'Indirectly via the SMF.', 'Both options 1 and 2.', 'None of the above.']",2,Standards specifications,The NWDAF collects input data for PDU Session traffic analytics either directly from the UPF using the 'UserDataUsageMeasures' event exposure event or indirectly via the SMF.
Which of the following options does NWDAF collect input data from? [3GPP Release 18],"['OAM', 'NRF', 'AMF', 'All of the above']",3,Standards specifications,"NWDAF can collect input data from OAM, NRF, AMF, and other relevant sources to derive slice load analytics."
Which mode of ESP provides confidentiality for any application that uses it?,"['Gateway mode', 'Tunnel mode', 'IP mode', 'Transport mode']",3,Research publications,Transport mode provides confidentiality for any application that uses it.
What is the definition of reciprocal processes in time-invariant systems?,"['A system is reciprocal if the S-parameters are symmetric', 'A system is reciprocal if the two reaction integrals are equal', 'A system is reciprocal if the permittivity is globally modulated', 'A system is reciprocal if the material properties vary harmonically with time', 'A system is reciprocal if the phase constants are the same for two modes']",1,Research overview,Reciprocal processes in time-invariant systems are called reciprocal if the two reaction integrals are equal.
What is the impact of losses in a transmission line?,"['Dispersion of waves with different frequencies.', 'Attenuation of wave amplitude.', 'Increase in the phase velocity of waves.', 'Decrease in the characteristic impedance of the transmission line.']",1,Research publications,Losses in a transmission line cause the wave amplitude to attenuate.
What is the purpose of the xMB API? [3GPP Release 16],"['To define the reference point specification for MBMS', 'To handle packet losses in MBMS', 'To manage content providers in MBMS', 'To control MBMS delivery procedures', 'To provide extended control features for MC Services']",3,Standards overview,The xMB API offers a simple interface to control the MBMS delivery procedure and ingest data to be delivered via MBMS.
Which protocol is used for exchanging files between different hosts? [TCP/IP],"['HTTPS', 'SSH', 'FTP', 'NTP']",2,Standards overview,FTP (File Transfer Protocol) is a protocol that facilitates the exchange of files between different hosts.
How does the number of UEs in the system affect the duration of application offloading and processing at the MEC (mobile edge computing)?,"['With more UEs, the offloading and processing at the MEC are faster', 'With more UEs, the offloading and processing at the MEC are slower', 'With more UEs, the offloading at the MEC is faster but processing is slower', 'With more UEs, the offloading at the MEC is slower but processing is faster']",1,Research overview,"With more UEs in the system, the application offloading as well as its processing at the MEC last longer."
What is the trade-off between privacy and convergence performance when using artificial noise obscuring in federated learning?,"['Increasing the noise variance improves privacy but degrades convergence', 'Increasing the noise variance improves privacy and convergence', 'Increasing the noise variance does not affect privacy or convergence', 'Increasing the noise variance degrades privacy and convergence', 'Increasing the noise variance improves privacy but has no effect on convergence']",0,Research publications,The trade-off between privacy and convergence performance when using artificial noise obscuring in federated learning is that increasing the noise variance improves privacy but degrades convergence.
What is the value of Boltzmann's constant expressed in dBW?,"['-228.6dBW', '-195.3dBW', '-180.0dBW', '-250.5dBW', '-203.9dBW']",0,Research publications,The value of Boltzmann's constant expressed in dBW is -228.6dBW.
What type of computing services can the data center-enabled HAP (High Altitude Platform) offer?,"['Internet of Things (IoT) applications', 'Artificial intelligence (AI) systems', 'Intelligent transportation systems', 'All of the above']",3,Research publications,"The data center-enabled HAP can offer a range of computing services, including supporting internet of things applications, artificial intelligence systems, and intelligent transportation systems."
